"","province","location","year","latinName","commonName","counts","catched","adult","pulli","not_catched"
"202","Antwerpen","Bornem",2015,"Branta canadensis","Canadese gans",24,NA,NA,NA,NA
"203","Antwerpen","Bornem",2015,"Branta leucopsis","Brandgans",1,NA,NA,NA,NA
"204","Antwerpen","Bornem",2015,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"205","Antwerpen","Bornem",2015,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"206","Antwerpen","Bornem",2016,"Alopochen aegyptiacus","Nijlgans",89,NA,NA,NA,NA
"207","Antwerpen","Bornem",2016,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"208","Antwerpen","Bornem",2016,"Anser anser","Grauwe gans",0,NA,NA,NA,NA
"209","Antwerpen","Bornem",2016,"Anser anser forma domesticus","Soepgans",2,NA,NA,NA,NA
"210","Antwerpen","Bornem",2016,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"211","Antwerpen","Bornem",2016,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"212","Antwerpen","Bornem",2016,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"213","Antwerpen","Bornem",2016,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"214","Antwerpen","Bornem",2016,"Branta canadensis","Canadese gans",33,NA,NA,NA,NA
"215","Antwerpen","Bornem",2016,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"216","Antwerpen","Bornem",2016,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"217","Antwerpen","Bornem",2016,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"218","Antwerpen","Bornem",2018,"Alopochen aegyptiacus","Nijlgans",471,NA,NA,NA,NA
"219","Antwerpen","Bornem",2018,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"220","Antwerpen","Bornem",2018,"Anser anser","Grauwe gans",19,NA,NA,NA,NA
"221","Antwerpen","Bornem",2018,"Anser anser forma domesticus","Soepgans",1,NA,NA,NA,NA
"222","Antwerpen","Bornem",2018,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"223","Antwerpen","Bornem",2018,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"224","Antwerpen","Bornem",2018,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
